transaction_id,sender_id,receiver_id,amount,timestamp
TXN001,ACC101,ACC201,5000.00,2024-01-19 09:00:00
TXN002,ACC201,ACC301,4980.00,2024-01-19 10:15:00
TXN003,ACC301,ACC101,4950.00,2024-01-19 12:30:00

TXN004,ACC401,ACC402,7000.00,2024-01-20 08:00:00
TXN005,ACC402,ACC403,6980.00,2024-01-20 09:00:00
TXN006,ACC403,ACC404,6950.00,2024-01-20 10:00:00
TXN007,ACC404,ACC401,6900.00,2024-01-20 11:30:00

TXN008,ACC601,ACC500,499.00,2024-01-21 09:00:00
TXN009,ACC602,ACC500,480.00,2024-01-21 09:10:00
TXN010,ACC603,ACC500,510.00,2024-01-21 09:20:00
TXN011,ACC604,ACC500,495.00,2024-01-21 09:30:00
TXN012,ACC605,ACC500,505.00,2024-01-21 09:40:00

TXN013,ACC500,ACC701,4500.00,2024-01-22 12:00:00
TXN014,ACC500,ACC702,3000.00,2024-01-22 12:05:00
TXN015,ACC500,ACC703,2500.00,2024-01-22 12:10:00

TXN016,ACC800,ACC801,9000.00,2024-01-23 08:00:00
TXN017,ACC801,ACC802,8900.00,2024-01-23 09:30:00
TXN018,ACC802,ACC803,8800.00,2024-01-23 11:00:00

TXN019,ACC1001,ACC900,120.00,2024-01-10 10:00:00
TXN020,ACC1002,ACC900,340.00,2024-01-10 10:15:00
TXN021,ACC1003,ACC900,89.00,2024-01-10 10:30:00
TXN022,ACC1004,ACC900,210.00,2024-01-11 11:00:00
TXN023,ACC1005,ACC900,450.00,2024-01-11 11:15:00
TXN024,ACC1006,ACC900,320.00,2024-01-12 12:00:00
TXN025,ACC1007,ACC900,150.00,2024-01-13 13:00:00

TXN026,ACC950,EMP001,50000.00,2024-01-25 09:00:00
TXN027,ACC950,EMP002,48000.00,2024-01-25 09:01:00
TXN028,ACC950,EMP003,52000.00,2024-01-25 09:02:00
TXN029,ACC950,EMP004,51000.00,2024-01-25 09:03:00
TXN030,ACC950,EMP005,49500.00,2024-01-25 09:04:00

TXN031,ACC1100,ACC1101,10000.00,2024-01-01 08:00:00
TXN032,ACC1101,ACC1102,9900.00,2024-01-03 09:00:00
TXN033,ACC1102,ACC1103,9800.00,2024-01-05 10:00:00
TXN034,ACC1103,ACC1104,9700.00,2024-01-08 11:00:00
TXN035,ACC1104,ACC1105,9600.00,2024-01-10 12:00:00

TXN036,ACC1201,ACC1202,200.00,2024-01-12 10:00:00
TXN037,ACC1202,ACC1203,150.00,2024-01-13 11:00:00
TXN038,ACC1204,ACC1205,80.00,2024-01-14 12:00:00
TXN039,ACC1206,ACC1207,450.00,2024-01-15 13:00:00
TXN040,ACC1208,ACC1209,300.00,2024-01-16 14:00:00
TXN041,ACC1210,ACC1211,75.00,2024-01-17 15:00:00
TXN042,ACC1212,ACC1213,60.00,2024-01-18 16:00:00
TXN043,ACC1214,ACC1215,500.00,2024-01-19 17:00:00
TXN044,ACC1216,ACC1217,90.00,2024-01-20 18:00:00
TXN045,ACC1218,ACC1219,130.00,2024-01-21 19:00:00

TXN046,ACC1220,ACC1221,250.00,2024-01-22 10:00:00
TXN047,ACC1222,ACC1223,400.00,2024-01-22 11:00:00
TXN048,ACC1224,ACC1225,175.00,2024-01-23 12:00:00
TXN049,ACC1226,ACC1227,600.00,2024-01-24 13:00:00
TXN050,ACC1228,ACC1229,220.00,2024-01-24 14:00:00
